,A,Average Aggregation Delay (ms),IoT Device Battery (V),Data per Packet,B,Goodput (B/s),G/T (%),Packet Loss (%),Received Packets,Sent Packets,Gateway Received Packets (pps),Router Received Packet (pps),Sampling Interval (s),C,Throughput (B/s),Topology,AB,AC,BC,ABC
29,-1,88.38460922330097,2.626284466019415,10,-1,1897.6,64.8175980325181,-4.777618364418938,412,2788,41.2,278.8,10,1,2927.6,wwwwwwwwwwc,1,-1,-1,1
30,-1,91.60501711491443,2.574334951456308,10,-1,1891.2,64.90716271407489,-4.6700143472022955,409,2788,40.9,278.8,10,1,2913.7,wwwwwwwwwwc,1,-1,-1,1
31,-1,87.74895432692308,2.577166666666666,10,-1,1900.8,64.6354733405876,-4.921090387374462,416,2788,41.6,278.8,10,1,2940.8,wwwwwwwwwwc,1,-1,-1,1
32,-1,87.49629439252337,2.527959433962263,10,-1,1888.0,63.826910074374574,-5.351506456241033,428,2788,42.8,278.8,10,1,2958.0,wwwwwwwwwwc,1,-1,-1,1
33,-1,88.05707766990291,2.652525242718445,10,-1,1904.0,64.89434219495568,-4.777618364418938,412,2788,41.2,278.8,10,1,2934.0,wwwwwwwwwwc,1,-1,-1,1
34,-1,92.54634541062802,2.575073076923075,10,-1,1894.4,64.66853280535263,-4.8493543758967,414,2788,41.4,278.8,10,1,2929.4,wwwwwwwwwwc,1,-1,-1,1
35,-1,94.83017548076923,2.57461346153846,10,-1,1907.2,64.71226927252985,-4.921090387374462,416,2788,41.6,278.8,10,1,2947.2,wwwwwwwwwwc,1,-1,-1,1
36,-1,90.06200961538461,2.602443269230768,10,-1,1900.8,64.6354733405876,-4.921090387374462,416,2788,41.6,278.8,10,1,2940.8,wwwwwwwwwwc,1,-1,-1,1
37,-1,90.45021103117506,2.6278230769230753,10,-1,1894.4,64.50338792604447,-4.956958393113343,417,2788,41.7,278.8,10,1,2936.9,wwwwwwwwwwc,1,-1,-1,1
38,-1,88.45179326923076,2.600916346153845,10,-1,1900.8,64.6354733405876,-4.921090387374462,416,2788,41.6,278.8,10,1,2940.8,wwwwwwwwwwc,1,-1,-1,1
39,-1,93.0512024691358,2.652037623762374,10,-1,1904.0,65.28373049888565,-4.526542324246771,405,2788,40.5,278.8,10,1,2916.5,wwwwwwwwwwc,1,-1,-1,1
40,1,909.5211363636364,2.640681818181818,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
41,1,896.2159318181818,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
42,1,904.48675,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
43,1,913.32325,2.640681818181818,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
44,1,889.4037954545455,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
45,1,892.9493181818182,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
46,1,880.318,2.640681818181818,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
47,1,900.8057045454545,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
48,1,901.5342727272728,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
49,1,901.7264772727273,2.640681818181818,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
50,1,921.3288409090909,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
51,1,905.7968181818181,2.640681818181818,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
52,1,888.9345454545454,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
53,1,909.1547954545455,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
54,1,921.8668409090909,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
55,1,918.0675681818182,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
56,1,904.6193181818181,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
57,1,914.1778636363637,2.640681818181818,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
58,1,903.9743863636363,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
59,1,905.7479545454545,2.639609090909091,50,-1,1760.0,94.11764705882352,0.15436241610738202,44,2384,4.4,238.4,10,-1,1870.0,wwwwwwwwwwc,-1,-1,1,1
60,1,88.70943316831683,2.651800990099009,50,-1,1894.4,65.22517559564798,-12.49067431850789,404,2788,40.4,278.8,10,1,2904.4,wwwwwwwwwwc,-1,1,-1,-1
61,1,88.58606435643564,2.652272277227721,50,-1,1904.0,65.33973919011667,-12.49067431850789,404,2788,40.4,278.8,10,1,2914.0,wwwwwwwwwwc,-1,1,-1,-1
62,1,88.05576732673268,2.6526306930693053,50,-1,1900.8,65.30163528926755,-12.49067431850789,404,2788,40.4,278.8,10,1,2910.8,wwwwwwwwwwc,-1,1,-1,-1
63,1,91.77547772277228,2.6517970297029683,50,-1,1859.2,64.79855011849993,-12.49067431850789,404,2788,40.4,278.8,10,1,2869.2,wwwwwwwwwwc,-1,1,-1,-1
64,1,91.12621534653465,2.651563366336633,50,-1,1904.0,65.33973919011667,-12.49067431850789,404,2788,40.4,278.8,10,1,2914.0,wwwwwwwwwwc,-1,1,-1,-1
65,1,84.76688613861386,2.652872277227721,50,-1,1894.4,65.22517559564798,-12.49067431850789,404,2788,40.4,278.8,10,1,2904.4,wwwwwwwwwwc,-1,1,-1,-1
66,1,86.87991831683168,2.652509900990097,50,-1,1897.6,65.2634475168524,-12.49067431850789,404,2788,40.4,278.8,10,1,2907.6,wwwwwwwwwwc,-1,1,-1,-1
